Type                                  Module                      Label             Process        Full Name
edm::DetSetVector<CTPPSPixelLocalTrack>    "ctppsPixelLocalTracks"     ""                "RECO"         CTPPSPixelLocalTrackedmDetSetVector_ctppsPixelLocalTracks__RECO
edm::DetSetVector<CTPPSPixelRecHit>    "ctppsPixelRecHits"         ""                "RECO"         CTPPSPixelRecHitedmDetSetVector_ctppsPixelRecHits__RECO
edm::DetSetVector<TotemRPCluster>     "totemRPClusterProducer"    ""                "RECO"         TotemRPClusteredmDetSetVector_totemRPClusterProducer__RECO
edm::DetSetVector<TotemRPDigi>        "totemRPRawToDigi"          "TrackingStrip"   "RECO"         TotemRPDigiedmDetSetVector_totemRPRawToDigi_TrackingStrip_RECO
edm::DetSetVector<TotemRPLocalTrack>    "totemRPLocalTrackFitter"   ""                "RECO"         TotemRPLocalTrackedmDetSetVector_totemRPLocalTrackFitter__RECO
edm::DetSetVector<TotemRPRecHit>      "totemRPRecHitProducer"     ""                "RECO"         TotemRPRecHitedmDetSetVector_totemRPRecHitProducer__RECO
edm::DetSetVector<TotemRPUVPattern>    "totemRPUVPatternFinder"    ""                "RECO"         TotemRPUVPatternedmDetSetVector_totemRPUVPatternFinder__RECO
edm::DetSetVector<TotemTimingDigi>    "totemTimingRawToDigi"      "TotemTiming"     "RECO"         TotemTimingDigiedmDetSetVector_totemTimingRawToDigi_TotemTiming_RECO
edm::DetSetVector<TotemTimingLocalTrack>    "diamondSampicLocalTracks"   ""                "RECO"         TotemTimingLocalTrackedmDetSetVector_diamondSampicLocalTracks__RECO
edm::DetSetVector<TotemTimingRecHit>    "totemTimingRecHits"        ""                "RECO"         TotemTimingRecHitedmDetSetVector_totemTimingRecHits__RECO
edm::DetSetVector<TotemVFATStatus>    "ctppsDiamondRawToDigi"     "TimingDiamond"   "RECO"         TotemVFATStatusedmDetSetVector_ctppsDiamondRawToDigi_TimingDiamond_RECO
edm::DetSetVector<TotemVFATStatus>    "totemT2Digis"              "TotemT2"         "RECO"         TotemVFATStatusedmDetSetVector_totemT2Digis_TotemT2_RECO
edm::DetSetVector<TotemVFATStatus>    "totemRPRawToDigi"          "TrackingStrip"   "RECO"         TotemVFATStatusedmDetSetVector_totemRPRawToDigi_TrackingStrip_RECO
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedGlobalMuons"      ""                "RECO"         TrackingRecHitsOwned_displacedGlobalMuons__RECO
